usd_cleaning_fee,f_property_type,f_room_type,f_room_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_reviews_per_month,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,price,id,neighbourhood_cleansed,cancellation_policy,room_type,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights
NA,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,70,50,2,1,100,7,1,1,0,7,1,210,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,70,14191095,Hackney,flexible,Entire home/apt,Apartment,4.248495242049359,4,0.6931471805599453,0.4804530139182014,0,1,2.0794415416798357,1,5.3471075307174685,28.591558945055464,152.88214015005846,44100,9261000,4.605170185988092,3
NA,Apartment,Private room,Private,strict,Real Bed,Hackney,60,100,2,1,NA,0,1,NA,0,2,1,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,60,16464845,Hackney,strict,Private room,Apartment,4.0943445622221,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,2
59,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,150,100,5,2,95,4,2,2.14,12,2,2,55,2.14,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,150,16595231,Hackney,strict,Entire home/apt,Apartment,5.0106352940962555,25,1.6094379124341003,2.5902903939802346,0.6931471805599453,2,1.6094379124341003,1,4.007333185232471,16.058719257465423,64.35263859277293,3025,166375,4.553876891600541,2
30,House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,90,100,6,1,98,13,4,0.41,10,3,6,945,0.41,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,90,3356929,Hackney,strict,Entire home/apt,House,4.499809670330265,36,1.791759469228055,3.210401995568401,1.791759469228055,1,2.6390573296152584,1,6.851184927493743,46.93873491071744,321.58595313593173,893025,843908625,4.584967478670572,3
NA,House,Private room,Private,flexible,Real Bed,Hackney,25,NA,2,1,NA,0,1,NA,0,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,25,7813134,Hackney,flexible,Private room,House,3.2188758248682006,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,1
NA,Apartment,Private room,Private,moderate,Couch,Hackney,40,100,2,1,99,14,1,1.52,0,1,1,275,1.52,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,40,12530681,Hackney,moderate,Private room,Apartment,3.6888794541139363,4,0.6931471805599453,0.4804530139182014,0,1,2.70805020110221,1,5.616771097666572,31.548117563582544,177.19855491691757,75625,20796875,4.59511985013459,1
NA,House,Private room,Private,flexible,Real Bed,Hackney,35,NA,1,1,NA,0,1,NA,0,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2439109,Hackney,flexible,Private room,House,3.5553480614894135,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,1
30,Apartment,Private room,Private,strict,Real Bed,Hackney,27,100,1,1,96,44,1,0.98,0,3,1,1342,0.98,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,27,1259407,Hackney,strict,Private room,Apartment,3.295836866004329,1,0,0,0,1,3.8066624897703196,1,7.201916317531627,51.86759864472832,373.5461050306502,1800964,2416893688,4.564348191467836,3
25,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,88,100,3,1,87,4,1,0.88,0,2,1,135,0.88,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,88,13842326,Hackney,moderate,Entire home/apt,Apartment,4.477336814478207,9,1.0986122886681098,1.206948960812582,0,1,1.6094379124341003,1,4.90527477843843,24.061720651984185,118.02935144000911,18225,2460375,4.465908118654584,2
NA,House,Private room,Private,strict,Real Bed,Hackney,40,100,2,1,98,105,1,1.99,20,1,1,1580,1.99,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40,603959,Hackney,strict,Private room,House,3.6888794541139363,4,0.6931471805599453,0.4804530139182014,0,1,4.663439094112067,2,7.365180126021013,54.2458782887349,399.530664690745,2496400,3944312000,4.584967478670572,1
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,35,100,2,1,100,1,1,0.19,0,1,1,160,0.19,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,35,15153778,Hackney,flexible,Private room,Apartment,3.5553480614894135,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,5.075173815233827,25.757389254835076,130.7232274949241,25600,4096000,4.605170185988092,1
10,Apartment,Private room,Private,flexible,Real Bed,Hackney,69,100,2,1,NA,0,1,NA,14,4,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,69,14737026,Hackney,flexible,Private room,Apartment,4.23410650459726,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,3
65,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,165,100,8,2,97,20,6,3.26,15,1,4,182,3.26,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,165,14366032,Hackney,strict,Entire home/apt,Apartment,5.10594547390058,64,2.0794415416798357,4.324077125263812,1.3862943611198906,2,3.044522437723423,1,5.204006687076795,27.081685599140002,140.9332729552359,33124,6028568,4.574710978503383,1
30,Apartment,Private room,Private,flexible,Real Bed,Hackney,99,100,2,1,89,230,2,3.18,40,1,1,2170,3.18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,99,79111,Hackney,flexible,Private room,Apartment,4.59511985013459,4,0.6931471805599453,0.4804530139182014,0,1,5.442417710521793,2,7.682482446534506,59.020536541310804,453.4242359636686,4708900,10218313000,4.48863636973214,1
NA,House,Private room,Private,flexible,Real Bed,Hackney,42,NA,2,0.5,NA,0,1,NA,0,1,1,NA,NA,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,42,17380679,Hackney,flexible,Private room,House,3.7376696182833684,4,0.6931471805599453,0.4804530139182014,0,0,0,0,NA,NA,NA,NA,NA,NA,1
10,Apartment,Private room,Private,strict,Real Bed,Hackney,32,100,2,1,100,4,1,0.11,25,1,2,1045,0.11,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,32,2569503,Hackney,strict,Private room,Apartment,3.4657359027997265,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,1.6094379124341003,1,6.951772164398911,48.32713622571153,335.95924039901564,1092025,1141166125,4.605170185988092,1
NA,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,75,90,2,1,97,60,1,2.06,0,2,1,871,2.06,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,75,4142344,Hackney,strict,Entire home/apt,Apartment,4.31748811353631,4,0.6931471805599453,0.4804530139182014,0,1,4.110873864173311,2,6.769641976852503,45.82805249476346,310.2395078859508,758641,660776311,4.574710978503383,2
NA,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,45,100,2,1,75,14,1,0.6,0,2,2,702,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,45,5715176,Hackney,strict,Entire home/apt,Apartment,3.8066624897703196,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,2.70805020110221,1,6.553933404025811,42.954043064405354,281.51793767776945,492804,345948408,4.31748811353631,2
15,House,Private room,Private,flexible,Real Bed,Hackney,75,100,2,2,99,27,1,5.26,0,2,1,152,5.26,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,75,14365906,Hackney,flexible,Private room,House,4.31748811353631,4,0.6931471805599453,0.4804530139182014,0,2,3.332204510175204,1,5.0238805208462765,25.239375487738656,126.79960687117521,23104,3511808,4.59511985013459,2
30,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,90,100,3,1,95,22,1,0.74,30,2,2,894,0.74,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90,3486887,Hackney,moderate,Entire home/apt,Apartment,4.499809670330265,9,1.0986122886681098,1.206948960812582,0.6931471805599453,1,3.1354942159291497,1,6.795705775173514,46.181616982726645,313.8366812363667,799236,714516984,4.553876891600541,2
5,Apartment,Private room,Private,strict,Real Bed,Hackney,40,100,2,1,91,7,1,2.47,0,1,1,83,2.47,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,40,16200863,Hackney,strict,Private room,Apartment,3.6888794541139363,4,0.6931471805599453,0.4804530139182014,0,1,2.0794415416798357,1,4.418840607796598,19.52615231711221,86.28295477287708,6889,571787,4.51085950651685,1
20,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,79,NA,3,1,95,9,1,0.6,0,3,1,449,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,79,8991892,Hackney,flexible,Entire home/apt,Apartment,4.3694478524670215,9,1.0986122886681098,1.206948960812582,0,1,2.302585092994046,1,6.1070228877422545,37.29572855140775,227.76586787846938,201601,90518849,4.553876891600541,3
55,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,115,100,5,2,94,118,4,3.96,0,3,3,892,3.96,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,115,3782340,Hackney,moderate,Entire home/apt,Apartment,4.74493212836325,25,1.6094379124341003,2.5902903939802346,1.0986122886681098,2,4.77912349311153,2,6.79346613258001,46.15118209451159,313.52649253759745,795664,709732288,4.543294782270004,3
NA,House,Private room,Private,flexible,Real Bed,Hackney,22,75,1,1,100,1,1,1,0,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,22,17381568,Hackney,flexible,Private room,House,3.091042453358316,1,0,0,0,1,0.6931471805599453,1,2.1972245773362196,4.827795843250328,10.607751681151262,81,729,4.605170185988092,1
NA,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,100,NA,2,1,NA,0,1,NA,0,6,1,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,10827849,Hackney,flexible,Entire home/apt,Apartment,4.605170185988092,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,3
NA,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,63,NA,4,1,80,2,1,0.26,0,5,2,230,0.26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,63,13338770,Hackney,flexible,Entire home/apt,Apartment,4.143134726391533,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,1.0986122886681098,1,5.438079308923196,29.572706570138582,160.81872370792766,52900,12167000,4.382026634673881,3
5,Apartment,Private room,Private,strict,Real Bed,Hackney,27,100,1,1,93,27,1,1.44,0,4,1,561,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7806381,Hackney,strict,Private room,Apartment,3.295836866004329,1,0,0,0,1,3.332204510175204,1,6.329720905522696,40.06536674181106,253.60258945307518,314721,176558481,4.532599493153256,3
NA,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,228,100,8,1,93,3,8,0.4,20,1,6,223,0.4,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,228,12792638,Hackney,strict,Entire home/apt,Apartment,5.429345628954441,64,2.0794415416798357,4.324077125263812,1.791759469228055,1,1.3862943611198906,1,5.407171771460119,29.237506566075158,158.0922201719615,49729,11089567,4.532599493153256,1
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,45,NA,2,1,NA,0,1,NA,0,1,1,NA,NA,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,45,4666178,Hackney,flexible,Private room,Apartment,3.8066624897703196,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,1
44,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,75,92,3,1,100,2,1,2,0,1,2,27,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,75,15938297,Hackney,flexible,Entire home/apt,Apartment,4.31748811353631,9,1.0986122886681098,1.206948960812582,0.6931471805599453,1,1.0986122886681098,1,3.295836866004329,10.862540647313239,35.8011619238855,729,19683,4.605170185988092,1
40,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,125,100,4,1.5,80,1,1,0.07,0,3,2,424,0.07,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,125,6894310,Hackney,strict,Entire home/apt,Apartment,4.8283137373023015,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,0.6931471805599453,1,6.049733455231958,36.599274879352805,221.41585767485122,179776,76225024,4.382026634673881,3
12,Apartment,Private room,Private,flexible,Real Bed,Hackney,38,100,2,1,NA,0,1,NA,0,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38,15938256,Hackney,flexible,Private room,Apartment,3.6375861597263857,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,1
68,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,125,100,4,1,90,12,2,2.43,20,2,2,146,2.43,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,125,13185707,Hackney,moderate,Entire home/apt,Apartment,4.8283137373023015,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,2.5649493574615367,1,4.983606621708336,24.836334959935176,123.7745233652992,21316,3112136,4.499809670330265,2
10,House,Private room,Private,strict,Real Bed,Hackney,52,100,2,1,87,38,1,1.38,10,1,1,824,1.38,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,52,4534930,Hackney,strict,Private room,House,3.9512437185814275,4,0.6931471805599453,0.4804530139182014,0,1,3.6635616461296463,1,6.714170529909472,45.08008590470484,302.67538426715663,678976,559476224,4.465908118654584,1
14,Apartment,Private room,Private,moderate,Real Bed,Hackney,33,100,2,1.5,92,47,1,1.72,15,2,1,817,1.72,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,33,4536020,Hackney,moderate,Private room,Apartment,3.4965075614664802,4,0.6931471805599453,0.4804530139182014,0,1,3.871201010907891,1,6.705639094860003,44.96559567051488,301.5230562518723,667489,545338513,4.5217885770490405,2
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,40,0,2,1,84,14,1,0.25,0,1,1,1664,0.25,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40,603733,Hackney,flexible,Private room,Apartment,3.6888794541139363,4,0.6931471805599453,0.4804530139182014,0,1,2.70805020110221,1,7.416979621381154,55.011586703983326,408.0198175232868,2768896,4607442944,4.430816798843313,1
20,House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,75,100,2,1,90,2,1,1.11,15,2,1,52,1.11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,75,16463278,Hackney,strict,Entire home/apt,House,4.31748811353631,4,0.6931471805599453,0.4804530139182014,0,1,1.0986122886681098,1,3.9512437185814275,15.612326923629187,61.68810868942953,2704,140608,4.499809670330265,2
NA,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,97,NA,4,1,100,2,2,0.25,25,2,2,242,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,97,13732080,Hackney,flexible,Entire home/apt,Apartment,4.574710978503383,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,1.0986122886681098,1,5.488937726156687,30.128437361626137,165.37311646437834,58564,14172488,4.605170185988092,2
101,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,180,94,8,2.5,96,5,5,1.63,15,2,4,90,1.63,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,180,15544949,Hackney,moderate,Entire home/apt,Apartment,5.19295685089021,64,2.0794415416798357,4.324077125263812,1.3862943611198906,2,1.791759469228055,1,4.499809670330265,20.24828706919777,91.11343796159937,8100,729000,4.564348191467836,2
15,Apartment,Private room,Private,strict,Real Bed,Hackney,33,100,2,1.5,60,1,2,0.25,10,2,1,116,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,33,14103148,Hackney,strict,Private room,Apartment,3.4965075614664802,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,4.7535901911063645,22.596619704982643,107.41506978176628,13456,1560896,4.0943445622221,2
35,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,89,100,4,1,92,13,2,0.77,20,2,1,504,0.77,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,89,8466983,Hackney,moderate,Entire home/apt,Apartment,4.48863636973214,16,1.3862943611198906,1.9218120556728056,0,1,2.6390573296152584,1,6.222576268071369,38.720455411965006,240.94098693540903,254016,128024064,4.5217885770490405,2
10,Apartment,Private room,Private,strict,Real Bed,Hackney,37,100,2,1,98,95,1,2.67,18,4,1,1065,2.67,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,37,1651191,Hackney,strict,Private room,Apartment,3.6109179126442243,4,0.6931471805599453,0.4804530139182014,0,1,4.564348191467836,2,6.970730078143525,48.59107782233484,338.7152877055622,1134225,1207949625,4.584967478670572,3
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,43,NA,2,1,NA,0,1,NA,0,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43,17379796,Hackney,flexible,Private room,Apartment,3.7612001156935624,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,1
20,Apartment,Private room,Private,flexible,Real Bed,Hackney,100,NA,2,2,NA,0,1,NA,0,1,1,NA,NA,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,100,13447619,Hackney,flexible,Private room,Apartment,4.605170185988092,4,0.6931471805599453,0.4804530139182014,0,2,0,0,NA,NA,NA,NA,NA,NA,1
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,54,100,2,1,NA,0,2,NA,10,1,2,NA,NA,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,54,9559455,Hackney,flexible,Private room,Apartment,3.9889840465642745,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,0,0,NA,NA,NA,NA,NA,NA,1
NA,House,Private room,Private,flexible,Real Bed,Hackney,20,NA,1,1,40,1,1,0.15,0,4,1,196,0.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,20,12006466,Hackney,flexible,Private room,House,2.995732273553991,1,0,0,0,1,0.6931471805599453,1,5.278114659230517,27.858494355984075,147.04032744441017,38416,7529536,3.6888794541139363,3
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,60,100,2,1,100,1,1,0.47,0,4,1,62,0.47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60,16331823,Hackney,flexible,Private room,Apartment,4.0943445622221,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,4.127134385045092,17.033238232221528,70.29846319686614,3844,238328,4.605170185988092,3
50,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,180,100,3,1.5,96,19,1,0.92,0,2,1,615,0.92,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,180,5714955,Hackney,strict,Entire home/apt,Apartment,5.19295685089021,9,1.0986122886681098,1.206948960812582,0,1,2.995732273553991,1,6.421622267806518,41.23723255038852,264.8099308082907,378225,232608375,4.564348191467836,2
10,House,Private room,Private,flexible,Real Bed,Hackney,24,NA,2,1.5,40,1,1,0.05,0,1,1,555,0.05,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,24,7812039,Hackney,flexible,Private room,House,3.1780538303479458,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,6.318968113746434,39.92935802254417,252.312340146822,308025,170953875,3.6888794541139363,1
50,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,150,79,2,2,100,1,1,0.23,0,3,1,131,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,2568197,Hackney,strict,Entire home/apt,Apartment,5.0106352940962555,4,0.6931471805599453,0.4804530139182014,0,2,0.6931471805599453,1,4.875197323201151,23.76754894014767,115.87149097206027,17161,2248091,4.605170185988092,3
